AccX,Accy,AccZ,GyroX,GyroY,GyroZ,MAGyroX,MAGyroY,MAGyroZ,Gyro_minus_MAGyroX,Gyro_minus_MAGyroY,Gyro_minus_MAGyroZ,AADX,AADY,AADZ,AADM,Categorie
-0.01000,-0.21000,0.96000,-6.98000,-0.18000,-0.77000,-7.06000,-0.27000,-0.80000,0.08000,0.10000,0.03000,0.00000,0.00000,0.00000,0.00000,0
0.00000,-0.21000,0.96000,-7.06000,-0.23000,-0.74000,-7.04000,-0.26000,-0.80000,-0.02000,0.03000,0.06000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.97000,-7.06000,-0.31000,-0.95000,-7.03000,-0.27000,-0.82000,-0.03000,-0.05000,-0.13000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.97000,-7.06000,-0.27000,-0.73000,-7.03000,-0.26000,-0.80000,-0.03000,0.00000,0.07000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.96000,-7.11000,-0.33000,-0.90000,-7.05000,-0.28000,-0.82000,-0.06000,-0.05000,-0.08000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.96000,-7.10000,-0.24000,-0.81000,-7.08000,-0.27000,-0.82000,-0.02000,0.03000,0.01000,0.00000,0.00000,0.00000,0.00000,0
0.00000,-0.21000,0.97000,-7.22000,-0.16000,-0.92000,-7.08000,-0.26000,-0.83000,-0.14000,0.10000,-0.09000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.97000,-7.21000,-0.23000,-0.80000,-7.10000,-0.25000,-0.83000,-0.11000,0.03000,0.03000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.97000,-6.94000,-0.34000,-1.02000,-7.08000,-0.26000,-0.84000,0.14000,-0.07000,-0.17000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.97000,-7.04000,-0.26000,-0.82000,-7.08000,-0.25000,-0.85000,0.04000,-0.01000,0.03000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.96000,-6.92000,-0.12000,-0.85000,-7.07000,-0.25000,-0.85000,0.16000,0.13000,0.01000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.97000,-6.82000,-0.27000,-0.79000,-7.05000,-0.25000,-0.86000,0.23000,-0.02000,0.07000,0.00000,0.00000,0.00000,0.00000,0
0.00000,-0.21000,0.96000,-7.26000,-0.18000,-0.79000,-7.07000,-0.24000,-0.84000,-0.19000,0.06000,0.05000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.95000,-6.92000,-0.16000,-0.90000,-7.05000,-0.23000,-0.86000,0.14000,0.07000,-0.04000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.96000,-7.09000,-0.40000,-0.92000,-7.05000,-0.24000,-0.86000,-0.04000,-0.17000,-0.05000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.97000,-6.95000,-0.27000,-0.94000,-7.04000,-0.24000,-0.87000,0.09000,-0.03000,-0.06000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.96000,-6.76000,-0.13000,-0.83000,-6.99000,-0.24000,-0.86000,0.23000,0.11000,0.03000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.96000,-7.11000,-0.31000,-0.97000,-6.98000,-0.25000,-0.88000,-0.13000,-0.07000,-0.09000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.96000,-6.95000,-0.28000,-0.81000,-6.98000,-0.24000,-0.86000,0.03000,-0.04000,0.05000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.97000,-6.96000,-0.14000,-0.80000,-6.97000,-0.23000,-0.86000,0.01000,0.09000,0.06000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.97000,-6.95000,-0.24000,-0.66000,-6.98000,-0.24000,-0.84000,0.02000,0.00000,0.18000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.97000,-6.74000,-0.29000,-0.81000,-6.97000,-0.24000,-0.84000,0.23000,-0.05000,0.03000,0.00000,0.00000,0.00000,0.00000,0
0.00000,-0.21000,0.96000,-7.03000,-0.18000,-0.87000,-6.95000,-0.24000,-0.85000,-0.08000,0.06000,-0.02000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.96000,-7.29000,-0.27000,-1.07000,-6.98000,-0.25000,-0.87000,-0.31000,-0.02000,-0.20000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.97000,-6.98000,-0.29000,-0.98000,-6.97000,-0.24000,-0.87000,0.00000,-0.05000,-0.10000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.22000,0.96000,-6.89000,-0.15000,-0.80000,-6.97000,-0.23000,-0.86000,0.07000,0.08000,0.06000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.97000,-7.22000,-0.31000,-0.81000,-7.01000,-0.25000,-0.86000,-0.21000,-0.07000,0.05000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.97000,-7.36000,-0.11000,-0.74000,-7.04000,-0.23000,-0.83000,-0.32000,0.11000,0.09000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.96000,-7.20000,-0.24000,-0.96000,-7.06000,-0.22000,-0.85000,-0.14000,-0.01000,-0.11000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.96000,-6.92000,-0.08000,-0.79000,-7.06000,-0.22000,-0.85000,0.14000,0.13000,0.06000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.95000,-6.94000,-0.26000,-0.78000,-7.06000,-0.22000,-0.86000,0.12000,-0.04000,0.08000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.96000,-6.92000,-0.26000,-0.92000,-7.07000,-0.22000,-0.87000,0.16000,-0.04000,-0.05000,0.00000,0.00000,0.00000,0.00000,0
0.00000,-0.21000,0.96000,-7.02000,-0.31000,-0.81000,-7.07000,-0.23000,-0.86000,0.05000,-0.08000,0.06000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.96000,-7.04000,-0.30000,-0.82000,-7.05000,-0.23000,-0.84000,0.01000,-0.07000,0.02000,0.00000,0.00000,0.00000,0.00000,0
-0.02000,-0.22000,0.97000,-7.22000,-0.16000,-0.67000,-7.07000,-0.22000,-0.81000,-0.15000,0.06000,0.14000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.97000,-7.26000,-0.26000,-0.92000,-7.11000,-0.23000,-0.82000,-0.15000,-0.03000,-0.10000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.96000,-7.10000,-0.19000,-0.76000,-7.10000,-0.22000,-0.82000,0.00000,0.03000,0.06000,0.00000,0.00000,0.00000,0.00000,0
0.00000,-0.21000,0.98000,-7.08000,-0.39000,-0.81000,-7.07000,-0.25000,-0.82000,-0.01000,-0.14000,0.01000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.96000,-6.85000,-0.15000,-0.85000,-7.04000,-0.24000,-0.81000,0.18000,0.08000,-0.04000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.22000,0.96000,-6.97000,-0.22000,-0.84000,-7.04000,-0.25000,-0.82000,0.07000,0.03000,-0.02000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.97000,-6.84000,-0.19000,-0.92000,-7.03000,-0.24000,-0.83000,0.19000,0.05000,-0.09000,0.00000,0.00000,0.00000,0.00000,0
0.00000,-0.21000,0.97000,-7.08000,-0.12000,-0.76000,-7.05000,-0.23000,-0.82000,-0.04000,0.11000,0.06000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.20000,0.96000,-7.18000,-0.27000,-0.77000,-7.06000,-0.23000,-0.81000,-0.12000,-0.04000,0.04000,0.00000,0.00000,0.00000,0.00000,0
0.00000,-0.21000,0.96000,-7.10000,-0.12000,-0.94000,-7.07000,-0.21000,-0.82000,-0.03000,0.09000,-0.11000,0.00000,0.00000,0.00000,0.00000,0
0.00000,-0.20000,0.96000,-6.92000,-0.23000,-0.72000,-7.04000,-0.21000,-0.83000,0.12000,-0.01000,0.11000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.20000,0.97000,-7.08000,-0.21000,-0.79000,-7.02000,-0.21000,-0.82000,-0.06000,0.00000,0.03000,0.00000,0.00000,0.00000,0.00000,0
0.00000,-0.21000,0.96000,-6.87000,-0.39000,-0.92000,-7.00000,-0.23000,-0.83000,0.13000,-0.16000,-0.08000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.96000,-7.04000,-0.19000,-0.92000,-6.99000,-0.21000,-0.84000,-0.04000,0.02000,-0.08000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.96000,-6.98000,-0.35000,-0.79000,-7.01000,-0.23000,-0.84000,0.02000,-0.12000,0.05000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.96000,-7.27000,-0.22000,-0.75000,-7.04000,-0.23000,-0.83000,-0.23000,0.01000,0.08000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.96000,-7.21000,-0.20000,-0.70000,-7.07000,-0.23000,-0.80000,-0.14000,0.03000,0.10000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.96000,-7.14000,-0.28000,-0.96000,-7.08000,-0.25000,-0.83000,-0.06000,-0.04000,-0.14000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.96000,-6.75000,-0.24000,-0.84000,-7.04000,-0.24000,-0.83000,0.29000,0.00000,-0.01000,0.00000,0.00000,0.00000,0.00000,0
0.00000,-0.21000,0.96000,-6.92000,-0.36000,-0.86000,-7.02000,-0.27000,-0.82000,0.10000,-0.09000,-0.04000,0.00000,0.00000,0.00000,0.00000,0
